"t" "Rc"
5.000000000000000000e-01 5.009181904783035861e+02
5.050000000000000044e-01 5.044348096228600298e+02
5.100000000000000089e-01 5.080063517214042577e+02
5.150000000000000133e-01 5.116342155796689894e+02
5.200000000000000178e-01 5.153198506858202563e+02
5.250000000000000222e-01 5.190647596147807690e+02
5.300000000000000266e-01 5.228705005740708884e+02
5.350000000000000311e-01 5.267386901012714588e+02
5.400000000000000355e-01 5.306710059238446320e+02
5.450000000000000400e-01 5.346691899930655154e+02
5.500000000000000444e-01 5.387350517047441372e+02
5.550000000000000488e-01 5.428704713205435155e+02
5.600000000000000533e-01 5.470774036048113658e+02
5.649999999999999467e-01 5.513578816932940754e+02
5.700000000000000622e-01 5.557140212113463349e+02
5.749999999999999556e-01 5.601480246610046834e+02
5.799999999999999600e-01 5.646621860979284975e+02
5.849999999999999645e-01 5.692588961211981768e+02
5.899999999999999689e-01 5.739406472010705329e+02
5.949999999999999734e-01 5.787100393720896818e+02
5.999999999999999778e-01 5.835697863216951191e+02
6.049999999999999822e-01 5.885227219072164644e+02
6.099999999999999867e-01 5.935718071374382134e+02
6.149999999999999911e-01 5.987201376585035177e+02
6.199999999999999956e-01 6.039709517878308134e+02
6.250000000000000000e-01 6.093276391442373097e+02
6.300000000000000044e-01 6.147937499273307367e+02
6.350000000000000089e-01 6.203730049049270292e+02
6.400000000000000133e-01 6.260693061732193883e+02
6.450000000000000178e-01 6.318867487616092831e+02
6.500000000000000222e-01 6.378296331618415707e+02
6.550000000000000266e-01 6.439024788698300199e+02
6.600000000000000311e-01 6.501100390385887522e+02
6.650000000000000355e-01 6.564573163518349475e+02
6.700000000000000400e-01 6.629495802404587721e+02
6.750000000000000444e-01 6.695923855785027854e+02
6.799999999999999378e-01 6.763915930115198307e+02
6.850000000000000533e-01 6.833533910887423417e+02
6.899999999999999467e-01 6.904843203917005212e+02
6.950000000000000622e-01 6.977912998758496315e+02
6.999999999999999556e-01 7.052816556697011947e+02
7.050000000000000711e-01 7.129631526074002750e+02
7.099999999999999645e-01 7.208440288071951727e+02
7.149999999999999689e-01 7.289330336501964211e+02
7.199999999999999734e-01 7.372394695624232099e+02
7.249999999999999778e-01 7.457732380590856565e+02
7.299999999999999822e-01 7.545448905753994495e+02
7.349999999999999867e-01 7.635656846840253138e+02
7.399999999999999911e-01 7.728476463877842662e+02
7.449999999999999956e-01 7.824036392800993553e+02
7.500000000000000000e-01 7.922474414871890076e+02
7.550000000000000044e-01 8.023938314495472923e+02
7.600000000000000089e-01 8.128586837697635019e+02
7.650000000000000133e-01 8.236590765543353427e+02
7.700000000000000178e-01 8.348134119164569711e+02
7.750000000000000222e-01 8.463415515919583640e+02
7.800000000000000266e-01 8.582649699625793573e+02
7.850000000000000311e-01 8.706069271925180146e+02
7.900000000000000355e-01 8.833926656813650879e+02
7.949999999999999289e-01 8.966496336402675524e+02
8.000000000000000444e-01 9.104077403336199268e+02
8.049999999999999378e-01 9.246996484301680539e+02
8.100000000000000533e-01 9.395611100162269622e+02
8.149999999999999467e-01 9.550313541966944513e+02
8.200000000000000622e-01 9.711535359170501351e+02
8.249999999999999556e-01 9.879752577766976174e+02
8.300000000000000711e-01 1.005549179294617488e+03
8.349999999999999645e-01 1.023933731497810641e+03
8.400000000000000799e-01 1.043193959052752689e+03
8.449999999999999734e-01 1.063402517749855861e+03
8.500000000000000888e-01 1.084640862388828054e+03
8.549999999999999822e-01 1.107000669561687118e+03
8.599999999999999867e-01 1.130585552272430050e+03
8.649999999999999911e-01 1.155513139868193321e+03
8.699999999999999956e-01 1.181917618951101531e+03
8.750000000000000000e-01 1.209952861046603402e+03
8.800000000000000044e-01 1.239796304110727533e+03
8.850000000000000089e-01 1.271653812331652944e+03
8.900000000000000133e-01 1.305765819432544276e+03
8.950000000000000178e-01 1.342415175986549229e+03
9.000000000000000222e-01 1.381937288491257277e+03
9.050000000000000266e-01 1.424733384692223126e+03
9.100000000000000311e-01 1.471288110584861670e+03
9.150000000000000355e-01 1.522193233821849390e+03
9.199999999999999289e-01 1.578180122222511045e+03
9.250000000000000444e-01 1.640165106161326094e+03
9.299999999999999378e-01 1.709314220753264408e+03
9.350000000000000533e-01 1.787137910770766894e+03
9.399999999999999467e-01 1.875633541031179902e+03
9.450000000000000622e-01 1.977507008462622025e+03
9.499999999999999556e-01 2.096530942188288009e+03
9.550000000000000711e-01 2.238151011986672074e+03
9.599999999999999645e-01 2.410571383882311693e+03
9.650000000000000799e-01 2.626838233325998317e+03
9.699999999999999734e-01 2.909211917152650585e+03
9.750000000000000888e-01 3.299496374216762433e+03
9.799999999999999822e-01 3.887864519922887212e+03
9.849999999999999867e-01 4.916689884190940575e+03
9.899999999999999911e-01 7.374087082325171650e+03
9.949999999999999956e-01 2.730104063982974185e+04
